,DT_reg,boardContent,vocCode,anpath,adcode,adcode_b
166,2021.7.24 0:00,"상담해주시는 선생님은 만약이라는 단어로 결과에 어떻게든지 책임을 안지시려 하시는군요 진료를 받아야하는건 맞지만 모든건 수술뒤 6개월이 지나봐야아는데 쌤이 7월에 아계실수도 있다.
상담참 인상깊었습니다 ",불만,고객만족도조사(설문),"상담 불만(내용부족, 강요등)",직원
167,2021.7.24 0:00,앉을 대기의자가 없었어요. ㅜㅜ,불만,고객만족도조사(설문),"시설 부족,불편(가운, 슬리퍼, 기타 용품등)",시설
168,2021.7.24 0:00,노력하는거 같은데 체중이 잘 안빠지네요 ㅠㅡㅜ 솔루션 부탁해요,불만,고객만족도조사(설문),"시술 후 결과 불만족,요요",시술
169,2021.7.24 0:00,"언제나 친절♥♥♥♥♥♥♥
카복시전에 꼬옥 찜질....해주세염....",불만,고객만족도조사(설문),시술자 스킬부족,시술
170,2021.7.24 0:00,"어플에 부위별로 차트를볼수있으면 좋겠어요
등이면 등 만 쫙 볼수있고
허벅지면 허벅지만 쫙 볼수있게요
지금차트는 부위별로볼수가 없어서 너무불편합니다",불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
171,2021.7.24 0:00,"선생님들은 너무 친절하게 응대해주시긴 했습니다.
11시에 접수했고 최종으로 끝난시간은 12시50분 이였습니다.
처음이야 접수가 몰리니까 늦어져도 이해했지만
원치않는 영양상담 다녀와서 약처방 대기중에 저보다 늦게 접수하신분들 먼저 계속 처방 및 진료 들어가고, 대기화면에는 제 이름조차 나오지 않아 더 불쾌했습니다.
엔더.메조.약처방 받는데 2시간이 걸란다는거 자체가 너무 비효율적인거 같았습니다.",불만,고객만족도조사(설문),"대기 불만(대기시간, 대기공간 등)",대기
172,2021.7.24 0:00,시술해주신 매니저님 저한테 화나신줄요.. ,불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
173,2021.7.24 0:00,"채혈 후 지혈좀 하게 주사놓은 위치좀 잡아�Z으면 좋겠습니다
엉뚱한곳 잡아서 멍 크게들엇네여 ",불만,고객만족도조사(설문),시술자 스킬부족,시술
178,2021.7.23 0:00,"HPL 하시다가 바늘이 빠졌으면 빠졌다 설명을 하면서 해주세요. 몇번을 다시 찌르셨는지 아시나요?  다리에 바늘자국이 이렇게 많이 남고 멍도 이렇게 많이든건  몇년째 이 시술을 하면서 이번이 처음입니다
중간에 바늘빠져서 새로 찌르실때 몇번 아프다고 말씀드렸는데 안멈추시고 다 찌르시고 나서 아직도 아프시냐고 물어보셨는데 니들링 하는걸 멈췄으니까 당연히 아픈건 줄어들지 않았을까요?  
바늘 방향바꾸는건 미숙하셔서 그럴수도 있고 여러가지 이유가 있을수도 있기때문에 시간이 오래걸려도 그런건 언제든 참을수 있는데 이번같은 경우는 정말 처음이에요 끝나고 말씀드리려다가 시간이 없어서 초음파도 끝까지 다 못받고 나와서 글로 남겨요",불만,고객만족도조사(설문),시술자 스킬부족,시술
179,2021.7.23 0:00,"회사 점심시간에 갔다오려 예약을 타이트하게 잡고 
예약시간에 맞추려고 택시타고 가도 늘 2-30분 대기하네요.
대기시간 조절이 필요할 듯 합니다",불만,성공기(온),"대기 불만(대기시간, 대기공간 등)",대기
180,2021.7.23 0:00,"원장님과 담당선생님 모두 너무 잘해주셔서 아픈걸 더 잘 참을 수 있었습니다.  
옆 시술실에서 웃고 떠드는 소리가 다 들려서 조금 불편했습니다",불만,고객만족도조사(설문),환경기타,시설
181,2021.7.23 0:00,시술 패키티 결제 강요좀 하지마세요,불만,성공기(온),"상담 불만(내용부족, 강요등)",직원
182,2021.7.23 0:00,"수술후 예민한 상태라그런지 더 예민하게 반응되는것같아요
더 좀더 잘살펴주셨으며  합니다",불만,고객만족도조사(설문),직원 기타,직원
183,2021.7.23 0:00,경과에대한책임을 끝까지 지지 않ㅇ는것 갔다,불만,고객만족도조사(설문),"수술 후 효과 불만족(사이즈, 요요,체중등)",수술
184,2021.7.23 0:00,시술하면서 환자 상태라던 지 진행상황을 의사선생님께서 말씀해주시면서 하면 더 좋을 거 같아요,불만,고객만족도조사(설문),직원 기타,직원
185,2021.7.23 0:00,오늘은 접수팀에서 빠른응대가 아니여서 아쉬웠습니다.,불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
186,2021.7.23 0:00,"시술 뒤 상담해주시는 선생님께서는 환자의 후관리 목적이 아닌
그다음시술 결제만 요하는거 같았습니다.
람스 시술 뒤 후관리 후 6개월뒤에 연락준다 했었는데
그런 연락도없이 1년간 한차례 남은 시술을 안받았는데도
별도 관리는 없었습니다.
물론, 시술을 받는건 환자의 개인선택이지만 후관리가 조금 소홀한 느낌입니다
그래도 선생님들 모두 친절하셔서 기분좋은 마지막 시술이었습니다.
감사합니다.",불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
187,2021.7.23 0:00,안경쓰신분 다른분에 비해 조금 띠거우신것같아용 ㅠㅠ,불만,고객만족도조사(설문),"응대 태도(불친절, 무관심등)",직원
188,2021.7.23 0:00,체외충격파 기계가 말썽이였네요 ;,불만,고객만족도조사(설문),"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
189,2021.7.23 0:00,람스 후 계산 하는데 돈 계산이 잘못 되었더라구요 전화 주신다고 하시고서 따로 전화도 안오고 ㅠㅠ 큰 센터인데 민감할 수 있는 부분은 개선 부탁 드립니다. 애초에 계산 할 때부터 직원분께서 서툰 모습이 보였어요 ㅠㅠ ,불만,성공기(온),"응대 태도(불친절, 무관심등)",직원
201,2021.7.23 0:00,"안녕하세요. 
추천인 제도를 적극 활용하여 
현재까지 전국 지점에서 11명을 추천하고 
시술과 수술 등 적극적으로 홍보하고 있습니다. 

근데 지점마다 추천인 후관리 서비스가 
천차만별인걸 알게 되었어요.

제일 큰게 체외충격파 시술인데, 
서울 경기 인천 부산 등등 다른 지점은 추천인 서비스로 
체외충격파 시술이 1회 제공되는데 

대전점은 RF/저주파/메조지분 중 1개만 된다고 하고 
2인 추천 시 냉동파괴술, 3인 추천 시 체외충격파 라고 하네요? 

같은 서비스 시술인데 추천인 1명과 3명의 서비스 차이는 너무하지 않나요?  

전국 지점에 가격과 시술이 동일한걸로 유명한 병원인데 

추천인제도에서 서비스 시술이 이렇게 지점별로 차이나는건 합리적인 제도가 아니라고 생각합니다. 

혹시 대전점에 다른 지점과 차등을 두어야하는 
합당한 이유나 사유가 있다면 받아들이겠는데 

직접 문의했을 때도 만족스런 답변은 얻지 못했습니다. 

시술과 수술 등을 고민하는 분들에게 
시간과 노력을 들여서 제가 알고있는 정보와 지식을 공유하고 결국 시술 및 수술 예약으로 이어지며 
추천인 받게되었는데./. 

서비스에서 이렇게 차이나 나니까 
허탈하기도 하고 속상하기도 해요: 

이에 대한 답변 부탁드립니다:

",불만,홈페이지,"기타(이벤트, 비용불만, 예약제 불만, 메일 오류등)",기타
